               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.048898,            0.022169,            0.018133,             0.69447,             0.58326,             0.65377,             0.32743,             0.02587,            0.010926,           0.0098823,           0.0014174,           0.0014174,            0.083017
                  37,            0.034119,            0.021297,            0.013044,               0.655,             0.58333,             0.63367,              0.2865,            0.027027,            0.010604,           0.0097351,           0.0014342,           0.0014342,            0.082534
                  38,            0.032687,            0.022287,            0.013058,              0.7517,             0.58224,             0.63194,             0.45839,             0.02541,            0.010434,           0.0096637,           0.0014497,           0.0014497,             0.08205
                  39,            0.037389,            0.021689,            0.013307,             0.73196,             0.58328,             0.65762,              0.4149,            0.023248,            0.010327,           0.0091648,           0.0014636,           0.0014636,            0.081564
                  40,            0.034544,            0.019716,            0.011547,             0.93749,             0.49988,             0.70765,             0.47888,            0.022975,            0.010032,            0.008256,           0.0014762,           0.0014762,            0.081076
                  41,            0.030004,            0.020995,            0.011958,              0.8004,             0.58168,             0.69725,             0.45371,            0.023193,           0.0097932,           0.0079291,           0.0014872,           0.0014872,            0.080587
                  42,            0.031871,            0.020244,             0.01506,             0.79374,             0.41667,              0.5776,             0.42589,            0.027546,           0.0098537,           0.0087821,           0.0014969,           0.0014969,            0.080097
                  43,            0.048471,             0.02184,            0.015978,              0.7097,             0.49966,             0.59864,             0.39683,            0.023488,           0.0097797,           0.0088718,           0.0015051,           0.0015051,            0.079605
                  44,            0.038729,            0.022641,            0.013849,             0.69533,                0.75,             0.69492,             0.50012,             0.02209,           0.0091198,           0.0086869,           0.0015119,           0.0015119,            0.079112
                  45,            0.028532,            0.021264,           0.0097604,             0.80774,             0.74956,             0.78864,             0.50797,            0.020321,           0.0090414,           0.0081795,           0.0015173,           0.0015173,            0.078617
                  46,             0.03735,             0.02215,            0.013273,             0.93758,             0.49993,             0.70723,             0.48101,            0.026416,           0.0090308,           0.0070207,           0.0015213,           0.0015213,            0.078121
                  47,            0.035078,            0.021957,           0.0096531,             0.78158,             0.66635,             0.77746,              0.5881,            0.020344,           0.0088249,           0.0066719,            0.001524,            0.001524,            0.077624
                  48,            0.024498,            0.019687,           0.0097941,             0.97691,             0.49868,             0.68357,             0.43389,            0.031734,           0.0086678,           0.0060455,           0.0015253,           0.0015253,            0.077125
                  49,            0.035123,            0.020038,            0.010994,             0.96454,             0.66659,             0.77068,             0.58211,            0.021436,           0.0082598,           0.0056762,           0.0015253,           0.0015253,            0.076625
                  50,            0.029371,            0.019752,            0.014032,             0.88686,             0.58292,              0.7101,             0.53802,            0.022752,           0.0079462,           0.0063129,            0.001524,            0.001524,            0.076124
                  51,            0.027802,            0.018304,           0.0088098,             0.87506,             0.57009,             0.74271,              0.5094,            0.022281,           0.0078671,           0.0067093,           0.0015215,           0.0015215,            0.075621
                  52,            0.029953,            0.019904,             0.01145,             0.91022,             0.58325,             0.77618,             0.53601,            0.020685,             0.00782,           0.0066347,           0.0015177,           0.0015177,            0.075118
